,index,Municipio,casos,lat,lon,data
0,1,Canoas,2,-29.92,-51.18,10/08/2022
1,2,Caxias do Sul,3,-29.167778,-51.178889,10/08/2022
2,3,Garibaldi,1,-29.255833,-51.533889,10/08/2022
3,4,Igrejinha,2,-29.573889,-50.79,10/08/2022
4,5,Porto Alegre,9,-30.032778,-51.23,10/08/2022
5,6,Uruguaiana,1,-29.755,-57.087778,10/08/2022
6,7,Viamão,3,-30.080833,-51.022778,10/08/2022
7,8,Esteio,1,-29.860833,-51.178889,10/08/2022
8,9,Novo Hamburgo,2,-29.677778,-51.130833,10/08/2022
9,10,Passo Fundo,1,-28.262778,-52.406944,10/08/2022
10,11,São Marcos,1,-28.970833,-51.067778,10/08/2022
11,12,Campo Bom,1,-29.678889,-51.052778,10/08/2022
12,13,Santo Ângelo,1,-28.298889,-54.262778,10/08/2022
