index,Municipio,casos,lat,lon,data
89,Garibaldi,3,-29.255.833,-51.533.889,15/08/2022
90,Igrejinha,3,-29.573.889,-50.79,15/08/2022
91,Porto Alegre,15,-30.032.778,-51.23,15/08/2022
92,Uruguaiana,2,-29.755,-57.087.778,15/08/2022
93,Viamão,4,-30.080.833,-51.022.778,15/08/2022
94,Esteio,1,-29.860.833,-51.178.889,15/08/2022
95,Novo Hamburgo,3,-29.677.778,-51.130.833,15/08/2022
96,Passo Fundo,1,-28.262.778,-52.406.944,15/08/2022
97,São Marcos,1,-28.970.833,-51.067.778,15/08/2022
98,Campo Bom,1,-29.678.889,-51.052.778,15/08/2022
99,Santo Ângelo,1,-28.298.889,-54.262.778,15/08/2022
100,Monte Belo do Sul,1,-29.162.778,-51.631.944,15/08/2022
