,index,Municipio,casos,lat,lon,data
0,1,Canoas,2,-29.92,-51.18,04/08/2022
1,2,Caxias do Sul,2,-29.167778,-51.178889,04/08/2022
2,3,Garibaldi,1,-29.255833,-51.533889,04/08/2022
3,4,Igrejinha,1,-29.573889,-50.79,04/08/2022
4,5,Porto Alegre,5,-30.032778,-51.23,04/08/2022
5,6,Uruguaiana,1,-29.755,-57.087778,04/08/2022
6,7,Viamão,2,-30.080833,-51.022778,04/08/2022
7,8,Esteio,1,-29.860833,-51.178889,04/08/2022
8,9,Novo Hamburgo,1,-29.677778,-51.130833,04/08/2022
9,10,Passo Fundo,1,-28.262778,-52.406944,04/08/2022
10,11,São Marcos,1,-28.970833,-51.067778,04/08/2022
